name,lat,lon,country
MEJILLONES,-23.1,-70.47,Chile
MELBOURNE,-37.83,144.97,Australia
MENZEL BOURGUIBA,37.15,9.8,Tunisia
MERSIN,36.8,34.63,Turkey
MESSINA,38.2,15.57,Italy
MIDDELFART,55.5,9.73,Denmark
MIDIA,44.35,28.67,Romania
MILAZZO,38.22,15.25,Italy
MILNER BAY,-13.87,136.42,Australia
MILOS,36.72,24.45,Greece
MILWAUKEE,43.03,-87.88,United States
MINA RAYSUT,16.93,54.02,Oman
MINA SAQR,25.98,56.05,United Arab Emirates
MIRI,4.38,113.97,Malaysia
MITSUKOJIMA,34.18,132.52,Japan
MOCAMBIQUE,-15.03,40.73,Mozambique
MOHAMMEDIA,33.72,-7.4,Morocco
MOKPO,34.78,126.38,South Korea
MONFALCONE,45.78,13.55,Italy
MONGSTAD,60.82,5.03,Norway
MONROVIA,6.32,-10.82,Liberia
MONTEGO BAY,18.47,-77.93,Jamaica
MONTEVIDEO,-34.9,-56.22,Uruguay
